day_of_week,month,max_temp_c,is_holiday,is_business_day,restaurant_id,cuisine_type,restaurant_segment,second_course
4,1,6.4,1,0,1,Grill,Gourmet,Costillas BBQ
4,1,6.4,1,0,2,Spanish,Traditional,Filete de ternera
4,1,6.4,1,0,3,Italian,Business,Lasagna
4,1,6.4,1,0,4,Italian,Business,Risotto de setas
4,1,6.4,1,0,5,Italian,Gourmet,Lasagna
4,1,6.4,1,0,6,Mediterranean,Traditional,Pollo al horno
4,1,6.4,1,0,7,Spanish,Family,Carrilleras al vino
4,1,6.4,1,0,8,Mediterranean,Family,Salmón plancha
4,1,6.4,1,0,9,Italian,Traditional,Escalope Milanese
4,1,6.4,1,0,10,Mediterranean,Gourmet,Pollo al horno
4,1,6.4,1,0,11,Italian,Traditional,Pizza Margarita
4,1,6.4,1,0,12,Mediterranean,Traditional,Brochetas de pavo
4,1,6.4,1,0,13,Grill,Gourmet,Hamburguesa Gourmet
4,1,6.4,1,0,14,Spanish,Traditional,Filete de ternera
4,1,6.4,1,0,15,Spanish,Business,Filete de ternera
4,1,6.4,1,0,16,Grill,Traditional,Secreto Ibérico
4,1,6.4,1,0,17,Mediterranean,Traditional,Lubina
4,1,6.4,1,0,18,Mediterranean,Business,Brochetas de pavo
4,1,6.4,1,0,19,Grill,Business,Secreto Ibérico
4,1,6.4,1,0,20,Italian,Business,Pizza Margarita
5,1,5.9,0,0,1,Grill,Gourmet,Costillas BBQ
5,1,5.9,0,0,2,Spanish,Traditional,Filete de ternera
5,1,5.9,0,0,3,Italian,Business,Lasagna
5,1,5.9,0,0,4,Italian,Business,Risotto de setas
5,1,5.9,0,0,5,Italian,Gourmet,Lasagna
5,1,5.9,0,0,6,Mediterranean,Traditional,Pollo al horno
5,1,5.9,0,0,7,Spanish,Family,Carrilleras al vino
5,1,5.9,0,0,8,Mediterranean,Family,Lubina
5,1,5.9,0,0,9,Italian,Traditional,Escalope Milanese
5,1,5.9,0,0,10,Mediterranean,Gourmet,Pollo al horno
5,1,5.9,0,0,11,Italian,Traditional,Pizza Margarita
5,1,5.9,0,0,12,Mediterranean,Traditional,Brochetas de pavo
5,1,5.9,0,0,13,Grill,Gourmet,Entrecot
5,1,5.9,0,0,14,Spanish,Traditional,Filete de ternera
5,1,5.9,0,0,15,Spanish,Business,Merluza a la romana
5,1,5.9,0,0,16,Grill,Traditional,Entrecot
5,1,5.9,0,0,17,Mediterranean,Traditional,Lubina
5,1,5.9,0,0,18,Mediterranean,Business,Brochetas de pavo
5,1,5.9,0,0,19,Grill,Business,Secreto Ibérico
5,1,5.9,0,0,20,Italian,Business,Pizza Margarita
6,1,6.3,0,0,1,Grill,Gourmet,Costillas BBQ
6,1,6.3,0,0,2,Spanish,Traditional,Tortilla de patata
6,1,6.3,0,0,3,Italian,Business,Pizza Margarita
6,1,6.3,0,0,4,Italian,Business,Risotto de setas
6,1,6.3,0,0,5,Italian,Gourmet,Lasagna
6,1,6.3,0,0,6,Mediterranean,Traditional,Lubina
6,1,6.3,0,0,7,Spanish,Family,Tortilla de patata
6,1,6.3,0,0,8,Mediterranean,Family,Salmón plancha
6,1,6.3,0,0,9,Italian,Traditional,Escalope Milanese
6,1,6.3,0,0,10,Mediterranean,Gourmet,Pollo al horno
6,1,6.3,0,0,11,Italian,Traditional,Pizza Margarita
6,1,6.3,0,0,12,Mediterranean,Traditional,Pollo al horno
6,1,6.3,0,0,13,Grill,Gourmet,Entrecot
6,1,6.3,0,0,14,Spanish,Traditional,Filete de ternera
6,1,6.3,0,0,15,Spanish,Business,Carrilleras al vino
6,1,6.3,0,0,16,Grill,Traditional,Secreto Ibérico
6,1,6.3,0,0,17,Mediterranean,Traditional,Salmón plancha
6,1,6.3,0,0,18,Mediterranean,Business,Brochetas de pavo
6,1,6.3,0,0,19,Grill,Business,Entrecot
6,1,6.3,0,0,20,Italian,Business,Pizza Margarita
0,1,3.3,0,1,1,Grill,Gourmet,Costillas BBQ
0,1,3.3,0,1,2,Spanish,Traditional,Merluza a la romana
0,1,3.3,0,1,3,Italian,Business,Risotto de setas
0,1,3.3,0,1,4,Italian,Business,Risotto de setas
0,1,3.3,0,1,5,Italian,Gourmet,Lasagna
0,1,3.3,0,1,6,Mediterranean,Traditional,Lubina
0,1,3.3,0,1,7,Spanish,Family,Carrilleras al vino
0,1,3.3,0,1,8,Mediterranean,Family,Salmón plancha
0,1,3.3,0,1,9,Italian,Traditional,Escalope Milanese
0,1,3.3,0,1,10,Mediterranean,Gourmet,Brochetas de pavo
0,1,3.3,0,1,11,Italian,Traditional,Pizza Margarita
0,1,3.3,0,1,12,Mediterranean,Traditional,Brochetas de pavo
0,1,3.3,0,1,13,Grill,Gourmet,Hamburguesa Gourmet
0,1,3.3,0,1,14,Spanish,Traditional,Filete de ternera
0,1,3.3,0,1,15,Spanish,Business,Carrilleras al vino
0,1,3.3,0,1,16,Grill,Traditional,Secreto Ibérico
0,1,3.3,0,1,17,Mediterranean,Traditional,Lubina
0,1,3.3,0,1,18,Mediterranean,Business,Brochetas de pavo
0,1,3.3,0,1,19,Grill,Business,Secreto Ibérico
0,1,3.3,0,1,20,Italian,Business,Pizza Margarita
1,1,6.3,0,1,1,Grill,Gourmet,Costillas BBQ
1,1,6.3,0,1,2,Spanish,Traditional,Merluza a la romana
1,1,6.3,0,1,3,Italian,Business,Lasagna
1,1,6.3,0,1,4,Italian,Business,Risotto de setas
1,1,6.3,0,1,5,Italian,Gourmet,Pizza Margarita
1,1,6.3,0,1,6,Mediterranean,Traditional,Pollo al horno
1,1,6.3,0,1,7,Spanish,Family,Carrilleras al vino
1,1,6.3,0,1,8,Mediterranean,Family,Pollo al horno
1,1,6.3,0,1,9,Italian,Traditional,Escalope Milanese
1,1,6.3,0,1,10,Mediterranean,Gourmet,Pollo al horno
1,1,6.3,0,1,11,Italian,Traditional,Risotto de setas
1,1,6.3,0,1,12,Mediterranean,Traditional,Brochetas de pavo
1,1,6.3,0,1,13,Grill,Gourmet,Entrecot
1,1,6.3,0,1,14,Spanish,Traditional,Tortilla de patata
1,1,6.3,0,1,15,Spanish,Business,Merluza a la romana
1,1,6.3,0,1,16,Grill,Traditional,Hamburguesa Gourmet
1,1,6.3,0,1,17,Mediterranean,Traditional,Lubina
1,1,6.3,0,1,18,Mediterranean,Business,Brochetas de pavo
1,1,6.3,0,1,19,Grill,Business,Entrecot
1,1,6.3,0,1,20,Italian,Business,Pizza Margarita
