day_of_week,month,max_temp_c,is_holiday,is_business_day,restaurant_id,cuisine_type,restaurant_segment,first_course
4,1,6.4,1,0,1,Grill,Gourmet,Sopa de cebolla
4,1,6.4,1,0,2,Spanish,Traditional,Sopa castellana
4,1,6.4,1,0,3,Italian,Business,Tortellini nata
4,1,6.4,1,0,4,Italian,Business,Minestrone
4,1,6.4,1,0,5,Italian,Gourmet,Tortellini nata
4,1,6.4,1,0,6,Mediterranean,Traditional,Falafel
4,1,6.4,1,0,7,Spanish,Family,Sopa castellana
4,1,6.4,1,0,8,Mediterranean,Family,Sopa de marisco
4,1,6.4,1,0,9,Italian,Traditional,Tortellini nata
4,1,6.4,1,0,10,Mediterranean,Gourmet,Berenjena rellena
4,1,6.4,1,0,11,Italian,Traditional,Minestrone
4,1,6.4,1,0,12,Mediterranean,Traditional,Falafel
4,1,6.4,1,0,13,Grill,Gourmet,Sopa de cebolla
4,1,6.4,1,0,14,Spanish,Traditional,Potaje de garbanzos
4,1,6.4,1,0,15,Spanish,Business,Crema de verduras
4,1,6.4,1,0,16,Grill,Traditional,Sopa de cebolla
4,1,6.4,1,0,17,Mediterranean,Traditional,Falafel
4,1,6.4,1,0,18,Mediterranean,Business,Sopa de marisco
4,1,6.4,1,0,19,Grill,Business,Nachos con queso
4,1,6.4,1,0,20,Italian,Business,Minestrone
5,1,5.9,0,0,1,Grill,Gourmet,Nachos con queso
5,1,5.9,0,0,2,Spanish,Traditional,Sopa castellana
5,1,5.9,0,0,3,Italian,Business,Minestrone
5,1,5.9,0,0,4,Italian,Business,Sopa de tomate
5,1,5.9,0,0,5,Italian,Gourmet,Tortellini nata
5,1,5.9,0,0,6,Mediterranean,Traditional,Sopa de marisco
5,1,5.9,0,0,7,Spanish,Family,Sopa castellana
5,1,5.9,0,0,8,Mediterranean,Family,Berenjena rellena
5,1,5.9,0,0,9,Italian,Traditional,Tortellini nata
5,1,5.9,0,0,10,Mediterranean,Gourmet,Falafel
5,1,5.9,0,0,11,Italian,Traditional,Minestrone
5,1,5.9,0,0,12,Mediterranean,Traditional,Crema de calabacín
5,1,5.9,0,0,13,Grill,Gourmet,Nachos con queso
5,1,5.9,0,0,14,Spanish,Traditional,Potaje de garbanzos
5,1,5.9,0,0,15,Spanish,Business,Crema de verduras
5,1,5.9,0,0,16,Grill,Traditional,Sopa de cebolla
5,1,5.9,0,0,17,Mediterranean,Traditional,Falafel
5,1,5.9,0,0,18,Mediterranean,Business,Falafel
5,1,5.9,0,0,19,Grill,Business,Nachos con queso
5,1,5.9,0,0,20,Italian,Business,Sopa de tomate
6,1,6.3,0,0,1,Grill,Gourmet,Champiñones
6,1,6.3,0,0,2,Spanish,Traditional,Lentejas estofadas
6,1,6.3,0,0,3,Italian,Business,Tortellini nata
6,1,6.3,0,0,4,Italian,Business,Minestrone
6,1,6.3,0,0,5,Italian,Gourmet,Tortellini nata
6,1,6.3,0,0,6,Mediterranean,Traditional,Falafel
6,1,6.3,0,0,7,Spanish,Family,Lentejas estofadas
6,1,6.3,0,0,8,Mediterranean,Family,Berenjena rellena
6,1,6.3,0,0,9,Italian,Traditional,Tortellini nata
6,1,6.3,0,0,10,Mediterranean,Gourmet,Falafel
6,1,6.3,0,0,11,Italian,Traditional,Sopa de tomate
6,1,6.3,0,0,12,Mediterranean,Traditional,Crema de calabacín
6,1,6.3,0,0,13,Grill,Gourmet,Alitas BBQ
6,1,6.3,0,0,14,Spanish,Traditional,Potaje de garbanzos
6,1,6.3,0,0,15,Spanish,Business,Sopa castellana
6,1,6.3,0,0,16,Grill,Traditional,Champiñones
6,1,6.3,0,0,17,Mediterranean,Traditional,Falafel
6,1,6.3,0,0,18,Mediterranean,Business,Falafel
6,1,6.3,0,0,19,Grill,Business,Nachos con queso
6,1,6.3,0,0,20,Italian,Business,Sopa de tomate
0,1,3.3,0,1,1,Grill,Gourmet,Champiñones
0,1,3.3,0,1,2,Spanish,Traditional,Crema de verduras
0,1,3.3,0,1,3,Italian,Business,Tortellini nata
0,1,3.3,0,1,4,Italian,Business,Ravioli boloñesa
0,1,3.3,0,1,5,Italian,Gourmet,Tortellini nata
0,1,3.3,0,1,6,Mediterranean,Traditional,Berenjena rellena
0,1,3.3,0,1,7,Spanish,Family,Lentejas estofadas
0,1,3.3,0,1,8,Mediterranean,Family,Crema de calabacín
0,1,3.3,0,1,9,Italian,Traditional,Tortellini nata
0,1,3.3,0,1,10,Mediterranean,Gourmet,Sopa de marisco
0,1,3.3,0,1,11,Italian,Traditional,Ravioli boloñesa
0,1,3.3,0,1,12,Mediterranean,Traditional,Sopa de marisco
0,1,3.3,0,1,13,Grill,Gourmet,Nachos con queso
0,1,3.3,0,1,14,Spanish,Traditional,Potaje de garbanzos
0,1,3.3,0,1,15,Spanish,Business,Lentejas estofadas
0,1,3.3,0,1,16,Grill,Traditional,Sopa de cebolla
0,1,3.3,0,1,17,Mediterranean,Traditional,Falafel
0,1,3.3,0,1,18,Mediterranean,Business,Berenjena rellena
0,1,3.3,0,1,19,Grill,Business,Nachos con queso
0,1,3.3,0,1,20,Italian,Business,Sopa de tomate
1,1,6.3,0,1,1,Grill,Gourmet,Champiñones
1,1,6.3,0,1,2,Spanish,Traditional,Sopa castellana
1,1,6.3,0,1,3,Italian,Business,Minestrone
1,1,6.3,0,1,4,Italian,Business,Ravioli boloñesa
1,1,6.3,0,1,5,Italian,Gourmet,Minestrone
