day_of_week,month,max_temp_c,is_holiday,is_business_day,restaurant_id,cuisine_type,restaurant_segment,dessert
4,1,6.4,1,0,1,Grill,Gourmet,Tarta de manzana
4,1,6.4,1,0,2,Spanish,Traditional,Arroz con leche
4,1,6.4,1,0,3,Italian,Business,Tiramisú
4,1,6.4,1,0,4,Italian,Business,Profiteroles
4,1,6.4,1,0,5,Italian,Gourmet,Profiteroles
4,1,6.4,1,0,6,Mediterranean,Traditional,Macedonia
4,1,6.4,1,0,7,Spanish,Family,Arroz con leche
4,1,6.4,1,0,8,Mediterranean,Family,Sorbete
4,1,6.4,1,0,9,Italian,Traditional,Panna Cotta
4,1,6.4,1,0,10,Mediterranean,Gourmet,Fruta
4,1,6.4,1,0,11,Italian,Traditional,Profiteroles
4,1,6.4,1,0,12,Mediterranean,Traditional,Sorbete
4,1,6.4,1,0,13,Grill,Gourmet,Cheesecake
4,1,6.4,1,0,14,Spanish,Traditional,Arroz con leche
4,1,6.4,1,0,15,Spanish,Business,Fruta
4,1,6.4,1,0,16,Grill,Traditional,Brownie
4,1,6.4,1,0,17,Mediterranean,Traditional,Sorbete
4,1,6.4,1,0,18,Mediterranean,Business,Macedonia
4,1,6.4,1,0,19,Grill,Business,Brownie
4,1,6.4,1,0,20,Italian,Business,Gelato
5,1,5.9,0,0,1,Grill,Gourmet,Tarta de manzana
5,1,5.9,0,0,2,Spanish,Traditional,Arroz con leche
5,1,5.9,0,0,3,Italian,Business,Tiramisú
5,1,5.9,0,0,4,Italian,Business,Gelato
5,1,5.9,0,0,5,Italian,Gourmet,Profiteroles
5,1,5.9,0,0,6,Mediterranean,Traditional,Macedonia
5,1,5.9,0,0,7,Spanish,Family,Fruta
5,1,5.9,0,0,8,Mediterranean,Family,Macedonia
5,1,5.9,0,0,9,Italian,Traditional,Panna Cotta
5,1,5.9,0,0,10,Mediterranean,Gourmet,Yogur con miel
5,1,5.9,0,0,11,Italian,Traditional,Tiramisú
5,1,5.9,0,0,12,Mediterranean,Traditional,Fruta
5,1,5.9,0,0,13,Grill,Gourmet,Batido
5,1,5.9,0,0,14,Spanish,Traditional,Arroz con leche
5,1,5.9,0,0,15,Spanish,Business,Fruta
5,1,5.9,0,0,16,Grill,Traditional,Brownie
5,1,5.9,0,0,17,Mediterranean,Traditional,Sorbete
5,1,5.9,0,0,18,Mediterranean,Business,Fruta
5,1,5.9,0,0,19,Grill,Business,Brownie
5,1,5.9,0,0,20,Italian,Business,Gelato
6,1,6.3,0,0,1,Grill,Gourmet,Tarta de manzana
6,1,6.3,0,0,2,Spanish,Traditional,Flan
6,1,6.3,0,0,3,Italian,Business,Profiteroles
6,1,6.3,0,0,4,Italian,Business,Gelato
6,1,6.3,0,0,5,Italian,Gourmet,Profiteroles
6,1,6.3,0,0,6,Mediterranean,Traditional,Macedonia
6,1,6.3,0,0,7,Spanish,Family,Flan
6,1,6.3,0,0,8,Mediterranean,Family,Yogur con miel
6,1,6.3,0,0,9,Italian,Traditional,Panna Cotta
6,1,6.3,0,0,10,Mediterranean,Gourmet,Fruta
6,1,6.3,0,0,11,Italian,Traditional,Tiramisú
6,1,6.3,0,0,12,Mediterranean,Traditional,Fruta
6,1,6.3,0,0,13,Grill,Gourmet,Cheesecake
6,1,6.3,0,0,14,Spanish,Traditional,Arroz con leche
6,1,6.3,0,0,15,Spanish,Business,Natillas
6,1,6.3,0,0,16,Grill,Traditional,Brownie
6,1,6.3,0,0,17,Mediterranean,Traditional,Sorbete
6,1,6.3,0,0,18,Mediterranean,Business,Macedonia
6,1,6.3,0,0,19,Grill,Business,Tarta de manzana
6,1,6.3,0,0,20,Italian,Business,Gelato
0,1,3.3,0,1,1,Grill,Gourmet,Tarta de manzana
0,1,3.3,0,1,2,Spanish,Traditional,Arroz con leche
0,1,3.3,0,1,3,Italian,Business,Panna Cotta
0,1,3.3,0,1,4,Italian,Business,Gelato
0,1,3.3,0,1,5,Italian,Gourmet,Panna Cotta
0,1,3.3,0,1,6,Mediterranean,Traditional,Macedonia
0,1,3.3,0,1,7,Spanish,Family,Flan
0,1,3.3,0,1,8,Mediterranean,Family,Yogur con miel
0,1,3.3,0,1,9,Italian,Traditional,Panna Cotta
0,1,3.3,0,1,10,Mediterranean,Gourmet,Fruta
0,1,3.3,0,1,11,Italian,Traditional,Gelato
0,1,3.3,0,1,12,Mediterranean,Traditional,Yogur con miel
0,1,3.3,0,1,13,Grill,Gourmet,Cheesecake
0,1,3.3,0,1,14,Spanish,Traditional,Natillas
0,1,3.3,0,1,15,Spanish,Business,Natillas
0,1,3.3,0,1,16,Grill,Traditional,Tarta de manzana
0,1,3.3,0,1,17,Mediterranean,Traditional,Yogur con miel
0,1,3.3,0,1,18,Mediterranean,Business,Macedonia
0,1,3.3,0,1,19,Grill,Business,Brownie
0,1,3.3,0,1,20,Italian,Business,Profiteroles
1,1,6.3,0,1,1,Grill,Gourmet,Tarta de manzana
1,1,6.3,0,1,2,Spanish,Traditional,Arroz con leche
1,1,6.3,0,1,3,Italian,Business,Panna Cotta
1,1,6.3,0,1,4,Italian,Business,Gelato
1,1,6.3,0,1,5,Italian,Gourmet,Profiteroles
1,1,6.3,0,1,6,Mediterranean,Traditional,Macedonia
1,1,6.3,0,1,7,Spanish,Family,Flan
1,1,6.3,0,1,8,Mediterranean,Family,Sorbete
1,1,6.3,0,1,9,Italian,Traditional,Profiteroles
1,1,6.3,0,1,10,Mediterranean,Gourmet,Macedonia
1,1,6.3,0,1,11,Italian,Traditional,Panna Cotta
1,1,6.3,0,1,12,Mediterranean,Traditional,Macedonia
1,1,6.3,0,1,13,Grill,Gourmet,Tarta de manzana
1,1,6.3,0,1,14,Spanish,Traditional,Flan
1,1,6.3,0,1,15,Spanish,Business,Natillas
1,1,6.3,0,1,16,Grill,Traditional,Batido
1,1,6.3,0,1,17,Mediterranean,Traditional,Macedonia
1,1,6.3,0,1,18,Mediterranean,Business,Sorbete
1,1,6.3,0,1,19,Grill,Business,Brownie
1,1,6.3,0,1,20,Italian,Business,Gelato
2,1,9.3,0,1,1,Grill,Gourmet,Tarta de manzana
2,1,9.3,0,1,2,Spanish,Traditional,Arroz con leche
2,1,9.3,0,1,3,Italian,Business,Profiteroles
2,1,9.3,0,1,4,Italian,Business,Gelato
2,1,9.3,0,1,5,Italian,Gourmet,Profiteroles
2,1,9.3,0,1,6,Mediterranean,Traditional,Macedonia
2,1,9.3,0,1,7,Spanish,Family,Flan
2,1,9.3,0,1,8,Mediterranean,Family,Yogur con miel
2,1,9.3,0,1,9,Italian,Traditional,Panna Cotta
2,1,9.3,0,1,10,Mediterranean,Gourmet,Macedonia
2,1,9.3,0,1,11,Italian,Traditional,Tiramisú
2,1,9.3,0,1,12,Mediterranean,Traditional,Sorbete
2,1,9.3,0,1,13,Grill,Gourmet,Cheesecake
2,1,9.3,0,1,14,Spanish,Traditional,Arroz con leche
2,1,9.3,0,1,15,Spanish,Business,Fruta
2,1,9.3,0,1,16,Grill,Traditional,Brownie
2,1,9.3,0,1,17,Mediterranean,Traditional,Sorbete
2,1,9.3,0,1,18,Mediterranean,Business,Macedonia
2,1,9.3,0,1,19,Grill,Business,Brownie
2,1,9.3,0,1,20,Italian,Business,Gelato
3,1,11.5,0,1,1,Grill,Gourmet,Tarta de manzana
3,1,11.5,0,1,2,Spanish,Traditional,Fruta
3,1,11.5,0,1,3,Italian,Business,Tiramisú
3,1,11.5,0,1,4,Italian,Business,Gelato
3,1,11.5,0,1,5,Italian,Gourmet,Profiteroles
3,1,11.5,0,1,6,Mediterranean,Traditional,Macedonia
3,1,11.5,0,1,7,Spanish,Family,Flan
3,1,11.5,0,1,8,Mediterranean,Family,Yogur con miel
3,1,11.5,0,1,9,Italian,Traditional,Panna Cotta
3,1,11.5,0,1,10,Mediterranean,Gourmet,Sorbete
3,1,11.5,0,1,11,Italian,Traditional,Panna Cotta
3,1,11.5,0,1,12,Mediterranean,Traditional,Sorbete
3,1,11.5,0,1,13,Grill,Gourmet,Cheesecake
3,1,11.5,0,1,14,Spanish,Traditional,Arroz con leche
3,1,11.5,0,1,15,Spanish,Business,Fruta
3,1,11.5,0,1,16,Grill,Traditional,Brownie
3,1,11.5,0,1,17,Mediterranean,Traditional,Sorbete
3,1,11.5,0,1,18,Mediterranean,Business,Macedonia
3,1,11.5,0,1,19,Grill,Business,Brownie
3,1,11.5,0,1,20,Italian,Business,Gelato
4,1,3.3,0,0,1,Grill,Gourmet,Cheesecake
4,1,3.3,0,0,2,Spanish,Traditional,Arroz con leche
4,1,3.3,0,0,3,Italian,Business,Tiramisú
4,1,3.3,0,0,4,Italian,Business,Panna Cotta
4,1,3.3,0,0,5,Italian,Gourmet,Profiteroles
4,1,3.3,0,0,6,Mediterranean,Traditional,Macedonia
4,1,3.3,0,0,7,Spanish,Family,Arroz con leche
4,1,3.3,0,0,8,Mediterranean,Family,Yogur con miel
4,1,3.3,0,0,9,Italian,Traditional,Panna Cotta
